ID,BBG_Code,MemberName,Address,City,State,Zip,ContactName,Phone,Email,MemberSince,State1,Zip Code,Phone Number,Email Address,Rebate Level,Active
1001,ajw,AJW Builders,PO Box 7773,Lynden,WA,null,Alex Wynstra,null,alexwynstra@gmail.com,2015-07-01T00:00:00Z,WA,52302,864-449-5589,jay@a2ebuilders.com,T1,TRUE
1002,avb,American Village Builders,4200 W. Centre Ave,Portage,MI,null,Tom Fritz,null,tfritz@avbinc.com,null,MI,49024,269-352-2593 cell,tfritz@avbinc.com,T2,TRUE
1003,bosgraaf,Bosgraaf Homes,148 S. River Ave Suite 100,Holland,MI,null,Tyler Petersen,null,Brandt.vanheest@bosgraaf.com/Tyler.Petersen@bosgraaf.com,null,MI,49423,616-886-1147,brandt.vanheest@bosgraaf.com,null,TRUE
1004,bpci,Building Partners of Central Indiana,6510 Telecom Drive Suite 185,Indianapolis,IN,46278,Drake Branda,null,Drake@bagi.com,2011-02-17T00:00:00Z,IN,46201,null,null,T2,FALSE
1005,capital,Capital Construction,PO Box 1702,Brighton,MI,null,Laura Hampton,null,laura@ccgbuilders.com,2014-04-16T00:00:00Z,MI,48116,null,laura@ccgbuilders.com,T1,TRUE
1006,cottage,Cottage Homes,184 S. River Ave,Holland,MI,null,Eric,null,eric@cottagehome.com,null,MI,49423,null,eric@cottagehome.com,T1,TRUE
1007,cwd,CWD Real Estate,50 Louis St NW. Suite A,Bath,MI,null,Cullen Hillary,null,chillary@cwdrealestate.com,null,MI,48808,null,chillary@cwdrealestate.com,T2,TRUE
1008,dehaan,DeHaan Homes,3299 Hudson Trails Dr,Hudsonville,MI,null,Jodie Turcotte,null,jturcotte@dehaanhomes.com,2009-03-18T00:00:00Z,MI,49426,616-896-8300,EQuellet@dehaanhomes.com,T1,TRUE
1009,dilw,Harris Doyle Homes (Dilworth Division),3111 Timberlake Dr,Vestavia Hills,AL,null,Ben Ballew/ Courtney Bell,null,Ben.ballew@dilworthdevelopment.com/courtney.bell@dilworthdevelopment.comcourtney.bell@dilworthdevelopment.comcourtney.bell@dilworthdevelopment.comcourtney.bell@dilworthdevelopment.com/courtney.bell@dilworthdevelopment.com,null,AL,35243,334-821-6610,kellie.lloyd@harrisdoyle.com,T1,TRUE
1010,east,Eastbrook Homes,1188 E Paris Ave SE #100,Grand Rapids,MI,null,Rick Kowalski,null,kowalski@eastbrookhomes.com,null,MI,49546,(616) 455-0200,rharsh@eastbrookhomes.com,null,TRUE
