BBG Code,ProductName,Category,supplier_pivot,Active
5227,HardiePlank,Siding,2000,FALSE
5228,HardieBacker,Siding,2000,FALSE
5231,CertainTeed Shingles,Roofing,2000,FALSE
5357,Mitten Siding,Siding,2000,FALSE
5358,Aluminum,Siding,2000,FALSE
5367,Siding-Royal,Siding,2000,FALSE
5372,Air Vent-ShingleVent II,Roofing,2000,FALSE
5382,Siding-Royal EP,Siding,2000,FALSE
5493,Wellborn Cabinets,Cabinets,2002,TRUE
5280,Granite,,2002,FALSE
5281,Quartz,,2002,FALSE
5282,Silestone Quartz,,2002,FALSE
5296,Flooring,,2002,TRUE
5404,Counter Tops,,2002,TRUE
5269,Baths & Showers,,2003,TRUE
5261,Water Heater,,2004,TRUE
5466,Tankless Water Heater,,2004,TRUE
5233,Vinyl Windows,,2006,TRUE
5234,Wood Windows,,2006,TRUE
5235,Steel Doors,,2006,TRUE
5236,Fiberglass Doors,,2006,TRUE
5331,Lumber,,2006,FALSE
5332,Trusses,,2006,FALSE
5414,Trim,,2006,TRUE
5241,Series 2000,,2007,TRUE
5242,Series 5300-5800,,2007,TRUE
5243,Commercial Series OHD,,2007,FALSE
5523,AL Dimmer,,2009,TRUE
5524,GFCI Nightlight,,2009,TRUE
5525,Patrol Night Light,,2009,TRUE
5526,RF Devices (Switches/Receptacles/Wallplates),,2009,TRUE
5244,Standard Loadcenters CH or BR,,2009,TRUE
5245,Surge Protector CHSPMAX / CHSPULTRA,,2009,FALSE
5246,Surge Protector CHSP 3-Way,,2009,FALSE
5247,Generator-Manual,,2009,FALSE
5248,Generator-Natural Gas/ Automatic,,2009,FALSE
5249,Standard Toggles & Receptacles,,2009,TRUE
5250,Decorator Switches & Receptacles,,2009,TRUE
5251,"USB & Dimmer Receptacles, occupany sensors",,2009,TRUE
5252,Connected Home Products /Aspire RF,,2009,FALSE
5253,Commercial Equipment,,2009,FALSE
5424,Surge Breaker,,2009,FALSE
5481,Crosstown/Lustertone/Pursuit/Iconix/Perfect Drain,,2010,TRUE
5264,Dayton Premium/Elite Sink,,2010,TRUE
5265,Dayton Sink,,2010,TRUE
5266,DXUH Series,,2010,TRUE
5412,Quartz Classic & Luxe Sink,,2010,TRUE
5413,Explore Fine Fireclay Sink,,2010,TRUE
5298,GE Appliances,,2011,FALSE
5343,Toilets & Lavatories,,2011,FALSE
5345,Faucets,,2011,FALSE
5346,Lighting,,2011,FALSE
5347,Plumbing Supplies,,2011,FALSE
5348,Appliances,,2011,FALSE
5286,Shower Doors,,2013,TRUE
5287,Mirrors,,2013,TRUE
5288,Installed Rubbermaid Closets,,2013,TRUE
5405,Installed Organized Living Closets,,2013,FALSE
5491,Drywall - Multi-Family Units,,2014,FALSE
5500,Drywall - non-Michigan,,2014,FALSE
5270,Foam Insulation,,2014,TRUE
5271,Drywall,,2014,TRUE
5350,BATT Insulation (not Foam),,2014,TRUE
5379,Ceiling Tiles,,2014,FALSE
5380,Steel Studs,,2014,FALSE
5294,Decorative Lighting,,2019,TRUE
5399,LED/Wafer Lighting,,2019,TRUE
5285,Locks,,2020,TRUE
5487,Lap S Smooth,,2021,TRUE
5488,WeatherLogic,,2021,TRUE
5489,3 OSB Usages,,2021,TRUE
5496,Strand Shakes,,2021,TRUE
5497,ExpertFinish Lap Strand,,2021,TRUE
