pivotID,BBG Code,ProductName,Category,Active
2000,5227,HardiePlank,Siding,FALSE
2000,5228,HardieBacker,Siding,FALSE
2000,5231,CertainTeed Shingles,Roofing,FALSE
2000,5357,Mitten Siding,Siding,FALSE
2000,5358,Aluminum,Siding,FALSE
2000,5367,Siding-Royal,Siding,FALSE
2000,5372,Air Vent-ShingleVent II,Roofing,FALSE
2000,5382,Siding-Royal EP,Siding,FALSE
2002,5493,Wellborn Cabinets,Cabinets,TRUE
2002,5280,Granite,Solid Surface,FALSE
2002,5281,Quartz,Solid Surface,FALSE
2002,5282,Silestone Quartz,Solid Surface,FALSE
2002,5296,Flooring,Flooring,TRUE
2002,5404,Counter Tops,Solid Surface,TRUE
2003,5269,Baths & Showers,Plumbing,TRUE
2004,5261,Water Heater,Plumbing,TRUE
2004,5466,Tankless Water Heater,Plumbing,TRUE
2006,5233,Vinyl Windows,Windows,TRUE
2006,5234,Wood Windows,Windows,TRUE
2006,5235,Steel Doors,Doors,TRUE
2006,5236,Fiberglass Doors,Doors,TRUE
2006,5331,Lumber,Lumber,FALSE
2006,5332,Trusses,Trusses,FALSE
2006,5414,Trim,Trim,TRUE
2007,5241,Series 2000,Garage Doors/Openers,TRUE
2007,5242,Series 5300-5800,Garage Doors/Openers,TRUE
2007,5243,Commercial Series OHD,Garage Doors/Openers,FALSE
2009,5523,AL Dimmer,Electrical,TRUE
2009,5524,GFCI Nightlight,Electrical,TRUE
2009,5525,Patrol Night Light,Electrical,TRUE
2009,5526,RF Devices (Switches/Receptacles/Wallplates),Electrical,TRUE
2009,5244,Standard Loadcenters CH or BR,Electrical,TRUE
2009,5245,Surge Protector CHSPMAX / CHSPULTRA,Electrical,FALSE
2009,5246,Surge Protector CHSP 3-Way,Electrical,FALSE
2009,5247,Generator-Manual,Electrical,FALSE
2009,5248,Generator-Natural Gas/ Automatic,Electrical,FALSE
2009,5249,Standard Toggles & Receptacles,Electrical,TRUE
2009,5250,Decorator Switches & Receptacles,Electrical,TRUE
2009,5251,"USB & Dimmer Receptacles, occupany sensors",Electrical,TRUE
2009,5252,Connected Home Products /Aspire RF,Low-Voltage Products,FALSE
2009,5253,Commercial Equipment,Electrical,FALSE
2009,5424,Surge Breaker,Electrical,FALSE
2010,5481,Crosstown/Lustertone/Pursuit/Iconix/Perfect Drain,Plumbing,TRUE
2010,5264,Dayton Premium/Elite Sink,Plumbing,TRUE
2010,5265,Dayton Sink,Plumbing,TRUE
2010,5266,DXUH Series,Plumbing,TRUE
2010,5412,Quartz Classic & Luxe Sink,Plumbing,TRUE
2010,5413,Explore Fine Fireclay Sink,Plumbing,TRUE
2011,5298,GE Appliances,Appliances,FALSE
2011,5343,Toilets & Lavatories,Plumbing,FALSE
2011,5345,Faucets,Plumbing,FALSE
2011,5346,Lighting,Lighting,FALSE
2011,5347,Plumbing Supplies,Plumbing,FALSE
2011,5348,Appliances,Appliances,FALSE
2013,5286,Shower Doors,Plumbing,TRUE
2013,5287,Mirrors,Plumbing,TRUE
2013,5288,Installed Rubbermaid Closets,Plumbing,TRUE
2013,5405,Installed Organized Living Closets,Plumbing,FALSE
2014,5491,Drywall - Multi-Family Units,Drywall,FALSE
2014,5500,Drywall - non-Michigan,Drywall,FALSE
2014,5270,Foam Insulation,Insulation,TRUE
2014,5271,Drywall,Drywall,TRUE
2014,5350,BATT Insulation (not Foam),Insulation,TRUE
2014,5379,Ceiling Tiles,Drywall,FALSE
2014,5380,Steel Studs,Drywall,FALSE
2019,5294,Decorative Lighting,Lighting,TRUE
2019,5399,LED/Wafer Lighting,Lighting,TRUE
2020,5285,Locks,Door Hardware,TRUE
2021,5487,Lap S Smooth,Siding,TRUE
2021,5488,WeatherLogic,Lumber,TRUE
2021,5489,3 OSB Usages,Lumber,TRUE
2021,5496,Strand Shakes,Siding,TRUE
2021,5497,ExpertFinish Lap Strand,Siding,TRUE
2021,5498,ExpertFinish Trim Strand,Trim,TRUE
2021,5499,ExpertFinish Soffit,Siding,TRUE
2021,5521,TechShield,Lumber,TRUE
2021,5224,Floor Joists,Lumber,TRUE
2021,5225,Primed Lap Strand (SmartSide),Siding,TRUE
2021,5226,Primed Trim  Strand (SmartTrim),Siding,TRUE
2021,5393,Legacy Flooring,Flooring,TRUE
2021,5394,LSL Studs,Lumber,TRUE
2021,5409,TN 350 Flooring,Lumber,TRUE
2021,5410,Soffit,Siding,TRUE
2021,5411,Fiber Shakes,Siding,FALSE
2022,5284,Laminate Countertop,Solid Surface,TRUE
2025,5295,Paint,Paint,FALSE
2026,5522,Closet Selector Upgrade,Storage/Closets,TRUE
2026,5289,Wire Shelving,Storage/Closets,TRUE
2026,5290,Freedom Rail/Select/Classica Upgrades,Storage/Closets,TRUE
2026,5397,Updraded Closet,Storage/Closets,FALSE
